#{"t_start": 1753533662.850664, "env_id": "None"}
r,l,t
-180.661725,94,1174.527021
-225.710961,119,1176.066004
-149.424172,93,1177.266061
-189.275897,99,1178.569185
-177.394911,101,1179.854232
-157.592839,95,1181.07127
-163.420911,88,1184.696697
-140.171592,89,1185.805447
-149.453993,89,1186.938049
-149.234964,93,1188.12611
-169.119182,98,1189.36234
-173.481515,111,1190.781034
-173.156358,99,1192.077353
-174.540672,101,1193.380166
-159.322795,90,1194.537951
-167.321234,103,1195.883625
-66.871242,102,1197.216896
-195.808562,99,1198.494928
-157.053054,95,1199.731871
-188.963778,90,1200.888776
-156.028744,89,1202.052806
-157.130222,92,1203.234539
-139.118699,93,1204.464283
-212.203066,98,1205.743571
-207.688099,92,1206.937479
-167.618005,100,1208.270384
-171.272623,91,1209.446123
-159.892689,92,1210.677049
-176.728594,111,1214.609711
-172.713816,92,1215.785443
-171.682596,90,1216.924708
-177.430316,91,1218.088282
-142.794562,89,1219.252359
-168.868924,90,1220.421487
-153.797485,91,1221.603332
-165.039926,90,1222.754819
-161.385684,94,1223.960822
-178.408482,89,1225.100211
-184.796641,94,1226.311976
-176.705017,89,1227.488178
-153.751733,96,1228.75404
-185.825078,99,1230.064066
-148.383443,91,1231.25703
-155.669376,97,1232.567038
-166.137045,93,1233.80878
-142.560463,89,1234.97839
-173.938406,92,1236.202461
-151.551255,99,1237.535942
-165.057175,95,1238.814793
-173.431886,94,1240.062863
-196.033943,100,1243.608844
-258.104108,130,1245.257262
-207.17441,95,1246.450855
-144.424572,93,1247.650739
-169.483864,99,1248.935151
-179.588202,102,1250.262529
-238.492233,130,1252.03216
-172.731922,93,1253.256338
-178.432862,101,1254.589864
-249.32205,144,1256.474355
-150.458675,95,1257.747153
-173.13757,108,1259.195465
-151.20226,91,1260.419642
-152.603372,102,1261.770505
-165.819612,92,1263.085763
-238.296063,118,1264.70453
-194.268466,100,1266.037634
-155.213951,93,1267.285572
-177.202846,93,1268.576842
-175.091426,102,1272.182904
-54.426775,98,1273.406992
-164.600745,101,1274.703533
-192.139384,98,1275.958382
-246.873677,134,1277.739887
-210.825139,91,1278.982413
-155.301074,93,1280.194064
-155.172615,90,1281.449241
-174.485476,89,1282.685377
-144.278509,95,1284.030268
-150.186227,95,1285.363773
-170.69978,98,1286.673299
-136.935559,93,1287.957858
-167.505192,99,1289.351695
-158.174122,94,1290.618232
-66.881665,105,1292.01121
-206.724278,96,1293.320622
-241.67821,126,1295.023535
-180.739135,93,1296.284633
-154.6197,90,1297.478423
-157.622969,93,1298.770872
-168.069104,98,1302.496462
-98.446833,116,1303.932817
-137.348604,91,1305.102464
-157.213154,95,1306.326649
-171.872761,97,1307.575266
-198.349607,95,1308.853438
-134.354199,90,1310.023642
-152.446373,91,1311.272164
-170.613751,94,1312.490997
-183.316593,99,1313.792636
-142.564047,93,1315.053516
-170.96394,94,1316.326411
-179.826037,94,1317.58027
-161.219235,98,1318.889758
-188.694002,99,1320.252944
-193.915548,102,1321.63477
-153.627612,95,1322.939199
-154.25229,89,1324.138134
-165.66723,94,1325.428398
-172.078313,96,1326.743359
-157.241687,91,1327.973529
-165.48198,97,1331.695077
-185.111079,91,1332.834944
-150.564403,91,1334.010115
-164.671921,89,1335.143745
-153.398092,96,1336.416361
-164.031447,104,1337.779684
-50.654676,104,1339.142947
-185.481576,100,1340.470134
-141.986954,88,1341.63382
-161.366918,95,1342.913371
-157.25002,91,1344.09437
-178.03998,92,1345.341851
-54.084839,108,1346.845824
-165.879381,94,1348.130517
-178.582902,101,1349.481779
-155.605967,94,1350.761263
-158.825445,89,1352.021406
-156.143394,101,1353.366866
-140.117597,94,1354.66356
-167.093579,94,1355.942803
-159.864514,94,1357.226833
-135.822591,96,1358.487875
-169.870826,99,1362.256973
